,order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date,año_mes
397,1b9ecfe83cdc259250e1a8aca174f0ad,6d6b50b66d79f80827b6d96751528d30,canceled,2018-08-04 14:29:27,2018-08-07 04:10:26,,,2018-08-14 00:00:00,2018-08
613,714fb133a6730ab81fa1d3c1b2007291,e3fe72696c4713d64d3c10afe71e75ed,canceled,2018-01-26 21:34:08,2018-01-26 21:58:39,2018-01-29 22:33:25,,2018-02-22 00:00:00,2018-01
1058,3a129877493c8189c59c60eb71d97c29,0913cdce793684e52bbfac69d87e91fd,canceled,2018-01-25 13:34:24,2018-01-25 13:50:20,2018-01-26 21:42:18,,2018-02-23 00:00:00,2018-01
1130,00b1cb0320190ca0daa2c88b35206009,3532ba38a3fd242259a514ac2b6ae6b6,canceled,2018-08-28 15:26:39,,,,2018-09-12 00:00:00,2018-08
1801,ed3efbd3a87bea76c2812c66a0b32219,191984a8ba4cbb2145acb4fe35b69664,canceled,2018-09-20 13:54:16,,,,2018-10-17 00:00:00,2018-09
1811,0966b61e30c4a07edbd7523f59b3f3e4,2fcc597b8934d99715dbfff7909dd27f,canceled,2018-05-22 18:50:55,2018-05-22 19:17:15,,,2018-07-03 00:00:00,2018-05
1819,9021cf1919f615a121410790dcce848f,7acf55df0298e1d2c31200fb4f6fb93b,canceled,2018-07-04 16:05:56,2018-07-06 02:55:16,,,2018-08-22 00:00:00,2018-07
1868,df8282afe61008dc26c6c31011474d02,aa797b187b5466bc6925aaaa4bb3bed1,canceled,2017-03-04 12:14:30,,,,2017-04-10 00:00:00,2017-03
1971,a39d3db795a5cf4c8b6c9dd050f0d326,ec66df2cb66dfda07c03050470e21f69,canceled,2017-03-13 16:12:24,2017-03-13 16:12:24,,,2017-03-30 00:00:00,2017-03
2029,8d4c637f1accf7a88a4555f02741e606,b1dd715db389a2077f43174e7a675d07,canceled,2018-08-29 16:27:49,,,,2018-09-13 00:00:00,2018-08
2161,7a9d4c7f9b068337875b95465330f2fc,7f71ae48074c0cfec9195f88fcbfac55,canceled,2017-05-01 16:12:39,,,,2017-05-30 00:00:00,2017-05
2197,375f80ffc05feb35ce2680f1fa490575,8f6e5911262a8742393596bee2c09eac,canceled,2017-06-13 21:10:05,2017-06-13 21:22:35,,,2017-07-06 00:00:00,2017-06
2278,6bfa92d3952f762df12752e4937cd63e,6ccb997c97b0734228b454ba220ed00e,canceled,2018-04-27 21:28:24,2018-04-27 21:52:18,,,2018-05-10 00:00:00,2018-04
2697,2eb5ba20812f78127f6243fa27fb40e5,d5420a7dc4c5c1f95b7912368419f59f,canceled,2017-05-29 18:10:06,2017-05-31 07:02:46,,,2017-06-20 00:00:00,2017-05
2921,1950d777989f6a877539f53795b4c3c3,1bccb206de9f0f25adc6871a1bcf77b2,canceled,2018-02-19 19:48:52,2018-02-19 20:56:05,2018-02-20 19:57:13,2018-03-21 22:03:51,2018-03-09 00:00:00,2018-02
3056,ddaec6fff982b13e7e048b627a11d6da,68f4ad79cc0c2ad06e19088f5c00e9fa,canceled,2016-10-04 19:41:32,,,,2016-11-16 00:00:00,2016-10
3094,5290c34bd38a8a095b885f13958db1e1,92af427e290117f39d9ff908566072e0,canceled,2018-08-21 10:25:18,,,,2018-09-06 00:00:00,2018-08
3352,6261f3240a8778c656bd28aeb2ba9985,59c0ac147fb499a0f14577f508a3657d,canceled,2017-05-31 13:21:35,2017-06-01 13:35:20,,,2017-07-04 00:00:00,2017-05
3397,5ad5a1ef522da1732ab963ea1fb6165b,a76e74100709762a48e683a177dc86b0,canceled,2017-06-22 19:53:09,2017-06-22 20:05:23,,,2017-07-05 00:00:00,2017-06
3684,03310aa823a66056268a3bab36e827fb,25dbbf0c477fd4ae0880aaffbb12e8b3,canceled,2018-08-07 16:33:59,,,,2018-09-04 00:00:00,2018-08
4312,96ae30a2357a999e6010b2f1401af374,44ea012b92b665f5f4c775f3f0a63d7b,canceled,2017-07-31 16:37:31,2017-07-31 16:50:17,,,2017-08-18 00:00:00,2017-07
4345,73c182f8914a0064d6c64ad65e4c6942,f51c6d9e24e077d5755ac7abdb209b1e,canceled,2017-02-08 00:53:19,2017-02-08 01:05:12,,,2017-03-15 00:00:00,2017-02
4373,4c8b9947280829d0a8b7e81cc249b875,403c35c4d8813bf67b3d396b91ca1619,canceled,2018-08-09 14:54:47,,,,2018-08-21 00:00:00,2018-08
4396,e5fa5a7210941f7d56d0208e4e071d35,683c54fc24d40ee9f8a6fc179fd9856c,canceled,2016-09-05 00:15:34,2016-10-07 13:17:15,,,2016-10-28 00:00:00,2016-09
4939,b13ea375fe9c728832688264638f84cf,0dc5884bc5ffba283678229f27e07ff9,canceled,2018-08-22 18:52:29,,,,2018-09-19 00:00:00,2018-08
5127,8a9cce19aa49e055f2babb81d5a71c40,f2676ef361959c938b35ecd32321adce,canceled,2018-02-01 10:04:20,2018-02-03 02:52:42,2018-02-05 20:41:28,,2018-02-23 00:00:00,2018-02
5149,ea844c92cf978ea23321fa7fe5871761,6ddc45ad08e6a2c885ca2255fc52d6df,canceled,2018-09-13 09:56:12,,,,2018-09-27 00:00:00,2018-09
5432,85e05c3c9aa9834518f35d4f286014be,1d07a80a15700b40cb15ff5870ee8b48,canceled,2018-08-28 08:18:22,,,,2018-10-10 00:00:00,2018-08
5449,c1049eef89915c6beb3604bf3d6588d7,ed16865bcadcea1a00a928bf418a74bf,canceled,2018-02-05 23:08:11,2018-02-05 23:29:26,2018-02-09 22:13:01,,2018-03-07 00:00:00,2018-02
5457,168823ad1b77477540db78ab357f18b5,d0b3bccd5ab7d4920b0a8318ce9d997b,canceled,2018-07-17 11:16:54,2018-07-17 11:30:31,,,2018-08-17 00:00:00,2018-07
5509,885935156ba43094f3ae95f3c14e0381,3885c59916b2b261205c303fe0a10abf,canceled,2018-02-02 16:06:44,2018-02-06 04:32:39,2018-02-07 20:48:31,,2018-03-08 00:00:00,2018-02
5518,38a86eb53c2309d6234fc9bad96331ac,82d98198f7fb1687858e03a5322e1621,canceled,2018-08-18 12:39:31,,,,2018-08-29 00:00:00,2018-08
5523,c504f1f5fd54cc8398d57dc0da49de01,f5294fd3bc349e076861698912675c2e,canceled,2017-07-09 09:18:56,2017-07-09 09:30:10,,,2017-08-10 00:00:00,2017-07
5642,c5a468ae781ffb0ec6d36ae89fe512b0,ed7ef682569428c1afaf73b39a2f602b,canceled,2017-01-13 11:06:56,,,,2017-02-13 00:00:00,2017-01
5754,d1b4fc9a8c1207433519a8ec52e2d03f,f9a6bf8bc89af704ecd48975eff11800,canceled,2018-05-08 10:05:26,2018-05-08 10:31:28,,,2018-05-16 00:00:00,2018-05
6129,bcdad86f44c780bf1aaf24b66dd97753,f3f955ae1cc137ab2ec810ee255b2662,canceled,2018-08-05 03:49:18,2018-08-05 04:04:24,,,2018-08-20 00:00:00,2018-08
6356,2bb02fdf5637a68cd5d13c78c37c3376,8c468917b274857623298a1627369866,canceled,2018-08-09 10:55:10,,,,2018-08-17 00:00:00,2018-08
6647,5b4858f2dcf69731f2285a38829bfa7c,c8223f76047e09bea798462f2f46ffa9,canceled,2018-02-15 20:53:17,2018-02-15 21:06:43,2018-02-16 16:52:52,,2018-03-16 00:00:00,2018-02
6691,5b0ee19a3125fc083348baa76d816ed0,97e5ea711c00ba54392bf866a7d5f1e0,canceled,2018-03-05 13:56:34,2018-03-05 14:40:27,,,2018-03-15 00:00:00,2018-03
6730,12e1495369c542f003eb3ca480f924e3,6dd345003a66b6fb3f18301af8c6cd0c,canceled,2017-09-12 19:17:03,2017-09-12 19:30:24,,,2017-09-25 00:00:00,2017-09
6845,03a8aa5d0860898d421c46247011c686,36be0c3653ce387a9c5918cfdae9b053,canceled,2017-05-31 19:02:28,2017-05-31 19:15:20,,,2017-06-21 00:00:00,2017-05
7244,5226f1a731e8a1215da5e1bea64e2130,3489fb03bfa99335c385df8b863a701b,canceled,2016-10-10 09:51:13,2016-10-18 15:19:11,,,2016-11-18 00:00:00,2016-10
7457,9380c59012c11f49c549ef8dffef1367,07838708499d3eb9da748cb10b8ddf0a,canceled,2018-08-15 11:05:44,,,,2018-09-21 00:00:00,2018-08
7955,bef875448d5a4f703555d2dd5f8382b5,4a6f6cd7b3fa8d3f9a370adfdad0fa97,canceled,2018-01-23 09:48:56,2018-01-23 10:20:10,2018-01-24 21:04:56,,2018-02-22 00:00:00,2018-01
8207,013e9c654a339d80b53513da3c1ea437,9391729f79cd9e5fd7ca884ca030f579,canceled,2017-06-18 13:48:48,2017-06-18 13:55:18,,,2017-07-07 00:00:00,2017-06
8289,672ab3776d5b25e586521469609ae774,8c8b3a28c07f67148f86f297604b9875,canceled,2017-05-10 11:52:51,,,,2017-05-26 00:00:00,2017-05
8309,676e40056867189a1b3599f3e646f421,1f9d7eb9953ad379f11be30ae9dda416,canceled,2017-04-07 21:12:31,2017-04-07 21:25:08,,,2017-05-03 00:00:00,2017-04
8341,61792c6272346d7f4b7c5b1747df7b1a,6d6221343635319264386c8f977b01de,canceled,2017-03-08 11:51:41,2017-03-08 12:33:15,,,2017-04-10 00:00:00,2017-03
8436,94bde44a48f191d7175f67eb93b9ed67,7e8eda96b7924f789c4b65855af3e187,canceled,2017-02-01 17:31:17,2017-02-09 14:43:11,,,2017-03-16 00:00:00,2017-02
8542,7142b298b22a79a285d2ce792dc533a2,d2fac3a405031b2adb1739b20cae646a,canceled,2017-02-10 00:58:01,2017-02-10 01:05:27,,,2017-03-13 00:00:00,2017-02
8722,5687ad45d33870c742b2cdacaf758353,c68c27e929bf3a5f6d15d6101a7bd890,canceled,2018-05-21 22:53:49,2018-05-22 02:15:44,,,2018-05-29 00:00:00,2018-05
8791,dabf2b0e35b423f94618bf965fcb7514,5cdec0bb8cbdf53ffc8fdc212cd247c6,canceled,2016-10-09 00:56:52,2016-10-09 13:36:58,2016-10-13 13:36:59,2016-10-16 14:36:59,2016-11-30 00:00:00,2016-10
9345,36f66ebfbd144aa6fb39338bd87b0bf9,31d62517aee3298dee0ace2f38dc8bb4,canceled,2018-02-26 00:11:02,2018-02-27 04:31:24,,,2018-06-13 00:00:00,2018-02
9680,7106ae47c0242d76f336f5430d3ae0fc,6f37e3eb32985e5f552592b7e7173a33,canceled,2017-12-13 12:55:38,2017-12-13 13:11:58,,,2018-01-02 00:00:00,2017-12
9824,374bd3371c572eff1218edb0eb68cb96,17df09c17e859d9c328292bf6444ba9c,canceled,2018-02-14 03:35:04,2018-02-14 03:50:30,,,2018-03-14 00:00:00,2018-02
9900,709e43f97cb2a47fa749503419163710,3428aeaf91a64e697144aee8178f8cb9,canceled,2017-04-26 21:43:55,2017-04-27 16:22:52,,,2017-06-05 00:00:00,2017-04
9956,b54861ba91f988d9f961bdcd1a9a2026,efe9fcb063deef55ade34b4d7b6df704,canceled,2018-05-14 19:05:40,2018-05-14 19:18:12,,,2018-06-08 00:00:00,2018-05
9976,87ae60ef8b08ae0e5f903cacb53a6904,fea4d57ed3a45455f89c25ef3dae8ee8,canceled,2018-09-11 16:45:54,,,,2018-09-26 00:00:00,2018-09
10022,27f3ee911b46e671b6393093afebc222,c1f69ef3484dda2abe3bbe712c027f68,canceled,2017-04-23 12:01:53,2017-04-23 12:10:32,,,2017-05-15 00:00:00,2017-04
10071,809a282bbd5dbcabb6f2f724fca862ec,622e13439d6b5a0b486c435618b2679e,canceled,2016-09-13 15:24:19,2016-10-07 13:16:46,,,2016-09-30 00:00:00,2016-09
10183,651a89e11653d8df43a624a903fe0f5e,e536e3de6a1ac1c527acb004f4120d81,canceled,2017-06-06 20:31:46,,,,2017-06-29 00:00:00,2017-06
10456,947e9c6bfd83a06953c420ef92d3da6e,2737211835d5ea370af15ee145f7840c,canceled,2018-08-15 15:13:32,,,,2018-08-28 00:00:00,2018-08
10489,fa4c59a94711decb9c0410a0e7f878bc,47a175c6a4a97dcd0b9fa05c862fe6c6,canceled,2018-07-31 21:45:27,2018-07-31 22:04:19,,,2018-08-08 00:00:00,2018-07
10523,891e419a9019fb81b67212a708cb5f83,c5ebaeed3b49cd93b3c294547784f484,canceled,2017-07-07 12:15:50,2017-07-07 12:25:20,,,2017-08-03 00:00:00,2017-07
10732,3e170726582244699b156f1c7044223a,6269066e0832481ece633f6d7d408a84,canceled,2017-11-06 15:47:20,2017-11-07 07:30:29,,,2017-11-28 00:00:00,2017-11
10863,18987e54897a1baddde716aa4a01639c,c9abd721cd3e14892fc6c4144ab2744a,canceled,2017-03-14 09:27:08,2017-03-14 09:27:08,,,2017-04-10 00:00:00,2017-03
11079,0e6dbbc7484dc1ee0392c9ca801035c2,90f65e1539426f18ab1941841d728c72,canceled,2018-03-01 22:40:51,,,,2018-03-23 00:00:00,2018-03
11628,b89c3dccabd368d8a4b6778c1094df6b,1287bb4d651bd96d3b090a92997ae7ea,canceled,2017-03-20 14:44:16,2017-03-20 14:44:16,,,2017-04-12 00:00:00,2017-03
11874,acfa87544c19d596707d25cf2f7dab61,d5feeb223000c4c6dfdb7219b681e1d4,canceled,2018-08-17 00:55:54,2018-08-18 00:50:11,,,2018-08-22 00:00:00,2018-08
12266,dc0c4c970ae6b97b389d2e44a500f931,c78ae6d35d08ea9b9fbbd180c70b0ba5,canceled,2018-05-05 15:04:54,2018-05-05 15:15:16,,,2018-05-17 00:00:00,2018-05
12293,ab2e482aff4baa52ec6da817af85b981,3fec546fda08f460b090f82fb63bda6c,canceled,2018-06-26 11:43:42,2018-06-26 11:57:05,,,2018-07-19 00:00:00,2018-06
12355,b3f1a526de73a85b4e83ac77cd483a05,c70b3ad842d741da256c02ef08a7159d,canceled,2018-07-02 22:04:07,2018-07-02 22:15:19,,,2018-08-20 00:00:00,2018-07
12370,c87de2d1aece481642a24bae4b964b07,e91409937a0fd26a57310548858d1762,canceled,2017-04-24 09:51:21,2017-04-25 08:03:06,,,2017-05-15 00:00:00,2017-04
13103,186d3cd768be1890d832106f914ba37c,07b0857255ede98368d11c60ae263bfa,canceled,2017-06-09 10:16:21,,,,2017-07-05 00:00:00,2017-06
13354,d93ef0caa7a160caec60b4d6833415a6,6fa5afc4dfe6e55bf4117e62425122ed,canceled,2018-06-25 16:20:24,2018-06-25 16:38:27,,,2018-07-23 00:00:00,2018-06
13536,46010c67bec146f0c9db27f42149c5d2,6929b4205121245fcddb29a451082a69,canceled,2017-05-30 11:43:14,2017-05-30 13:08:11,,,2017-06-26 00:00:00,2017-05
13540,3388fa275fc1b344e275af704e8d3156,6da78d4e5ce1e5cefc6974eeb54563f8,canceled,2017-12-11 09:25:26,2017-12-11 09:33:21,,,2017-12-28 00:00:00,2017-12
13595,d1f4276166cee5a37d01beb15e2426fc,4eadcffca4cbd545ee337b830acd0b6d,canceled,2018-02-26 06:37:45,2018-02-27 04:30:59,,,2018-03-12 00:00:00,2018-02
13763,230cb5ffb43a10662e4b64e7d02cd171,5f2f8ba9528293da66c5f14a559cdaa6,canceled,2018-07-31 14:24:39,2018-07-31 15:04:25,,,2018-08-08 00:00:00,2018-07
13938,735ad119a24ea4a9d6fbfcd9f296920a,424ca0007f462e65164136500127e8f3,canceled,2017-07-24 11:38:43,2017-07-24 11:50:18,,,2017-08-07 00:00:00,2017-07
14042,efc7c29e1816bb3d30c1e8c207bf87ca,7d455392cb88ae54b111bc3a6c90c721,canceled,2017-06-23 01:15:59,2017-06-23 01:30:08,,,2017-07-17 00:00:00,2017-06
14055,d2feb2f430d7d97b41873672953fe944,e771c277cf012c1eb07d5986a5409137,canceled,2017-08-16 16:15:31,2017-08-18 02:16:03,,,2017-08-29 00:00:00,2017-08
14121,749309f96df588c96621963117e9530f,7cbca7bfacc12d22b0c5ec54733013d0,canceled,2018-08-14 17:57:15,2018-08-14 18:25:19,,,2018-08-17 00:00:00,2018-08
14460,2e9d8db9e132a9b5e1236618b7e8ef4a,51c6f517f4492a9c2ab4153e998b018e,canceled,2018-08-09 18:42:38,,,,2018-09-04 00:00:00,2018-08
14560,5d790fe3637a350e66c1f7f6d91f4c4e,af2ae43836ce7dc21710105ceddd1644,canceled,2017-07-03 09:43:13,2017-07-03 09:55:19,,,2017-07-21 00:00:00,2017-07
14586,5d9e1e0e7084f2f9e90a7069e64cba61,5a0e3721a8ca7e273f07af1ead76605e,canceled,2017-11-05 13:58:19,,,,2017-11-17 00:00:00,2017-11
14681,2cfc79d9582e9135c0a9b61fa60e6b21,f530197ea86ced9488a03d055e118ebf,canceled,2018-02-19 17:11:34,2018-02-19 17:20:52,2018-02-20 18:58:43,,2018-03-15 00:00:00,2018-02
14686,ad15ae08ead6006cdba6fb5f19b055c8,1b337e561848c1abff24332c0eae028d,canceled,2017-10-14 10:36:31,2017-10-15 10:49:16,,,2017-11-10 00:00:00,2017-10
14766,ba0f1e99132c6f69e4622597e9853599,4624a495981365fa48c8ac2ce5fc3b3d,canceled,2018-01-24 14:16:15,2018-01-24 15:15:57,2018-01-26 18:32:47,,2018-02-21 00:00:00,2018-01
14792,5abf37ab57e23f69a9c8ab98c4800273,19a045432879d6ddb4fd5611a0e2ba5b,canceled,2018-01-28 00:25:15,2018-01-28 00:36:35,2018-02-01 20:07:57,,2018-02-20 00:00:00,2018-01
14875,2701d162dabcb83a27f19ae30e8fea47,25bb25c747ecbfb534372b672a0e859b,canceled,2017-03-12 21:28:55,2017-03-12 21:28:55,,,2017-04-18 00:00:00,2017-03
14994,263f5778d1130e9c186958780172a107,7324ecb0ff143f561193d22bea7d63fb,canceled,2017-10-12 08:39:30,2017-10-12 09:06:26,,,2017-11-06 00:00:00,2017-10
15203,66b7aa4a53c5c138ffe0aa7ac74dbea1,defdee1ccbcae0df479d0152602383a4,canceled,2017-10-26 21:33:43,2017-10-26 21:46:43,,,2017-11-14 00:00:00,2017-10
15234,4b90912a086907b087947c385e8d13b1,aa9ca3127430c2e14db047a199e3d591,canceled,2018-08-01 16:39:52,2018-08-03 02:45:36,,,2018-08-06 00:00:00,2018-08
15236,697705c05da5ef945de721dd31bf23c6,635104f101d5c2725e94b44eeb8b0327,canceled,2017-02-03 11:31:48,2017-02-03 11:45:09,,,2017-03-28 00:00:00,2017-02
15332,0605918e96aec0f42a10810d92b5e864,f97b261874e04437f1bf4586dbfa1f03,canceled,2017-02-22 10:45:45,2017-02-22 10:55:19,,,2017-03-23 00:00:00,2017-02
15526,8caf289ab5d7e3ec7b4522aa22dabbec,dca1d784fd6b8dd1f223bb76482fa053,canceled,2018-02-14 10:37:17,2018-02-14 10:50:27,2018-02-17 00:04:14,,2018-03-07 00:00:00,2018-02
15604,04b3135bf087618b410a00680576242f,cd49b1a9bdfab0fa34b0ab96a9696d98,canceled,2018-07-29 19:58:34,2018-07-29 20:10:14,,,2018-08-13 00:00:00,2018-07
15676,2c8740f9df6d253c15dc035eba80ebed,5a073c41c1e7729b4538e4018a6cd170,canceled,2017-04-12 11:23:01,2017-04-12 11:30:25,,,2017-05-11 00:00:00,2017-04
15882,252788350f9dad30b31847845fe119fe,43c2e0c2bffdba58e569a9cf02d9b508,canceled,2017-04-23 14:58:37,,,,2017-05-23 00:00:00,2017-04
16366,bd35b677fd239386e9861d11ae98ab56,ad2eb5d02c0808bcd8743117f6383cf6,canceled,2018-09-17 17:21:16,,,,2018-10-01 00:00:00,2018-09
16449,b642a3e08bfd10119c9b7e948c936e93,f623e071624706724ec88fbb991b6833,canceled,2017-02-03 01:03:44,,,,2017-03-06 00:00:00,2017-02
16536,00d0ffd14774da775ac832ba8520510f,a2f3de2a0a84803cef018776a2e76c9b,canceled,2017-12-23 22:25:00,,,,2018-01-19 00:00:00,2017-12
16860,3f191c1edeb80678998ec0c8683cefcc,8840e68ca97a89b084ca61284b559d41,canceled,2018-02-20 20:34:23,2018-02-20 20:50:22,,,2018-03-21 00:00:00,2018-02
16947,93274b931b5771bd02154c9b716168ba,0d6ea3b6f1bf6ef08e6b60ce23db077b,canceled,2018-05-08 10:13:06,2018-05-08 10:31:32,,,2018-05-25 00:00:00,2018-05
17046,63802c52ced9ff923c962ecbf4b3a2a2,8424f98d9254ad85c24141f3cd2fe8c5,canceled,2017-12-03 11:32:32,,,,2017-12-26 00:00:00,2017-12
17128,943625151a5d8d00da80e96a90930e03,2953e41dea84f8fe69dc569138b6002f,canceled,2018-02-17 09:59:29,2018-02-17 10:10:26,2018-02-20 16:48:58,,2018-03-06 00:00:00,2018-02
17289,2ad4df0af7a71d632dccc0129bee3268,915ce1e45a3b10fb61f5d32924bdb7f6,canceled,2018-07-30 12:04:19,2018-07-30 18:31:05,,,2018-08-02 00:00:00,2018-07
17520,4e27ad7f1a6821ceddc8442eb1875014,bd41e15fdb17d74a176f31ffdf8987df,canceled,2018-04-16 20:22:37,2018-04-16 20:35:26,,,2018-05-10 00:00:00,2018-04
17850,7aa23447e2b8d82e2355605aeac705b4,8a32dae8c7971078dd401865dba395fc,canceled,2017-11-23 20:24:34,2017-11-23 20:31:30,,,2017-12-07 00:00:00,2017-11
17983,0a472c47d928bf4cd8b6a7a30345eeb7,8762d94c493b70216cd453ea2320234e,canceled,2018-08-30 10:14:00,,,,2018-10-02 00:00:00,2018-08
18163,c0341f028a07cb3196e3bf4e850066bb,b3cdb244706fcba3d2bcd907b082ce1b,canceled,2017-03-23 17:21:23,2017-03-23 18:23:19,,,2017-04-11 00:00:00,2017-03
18432,82b564e3b8efa4e060e5c950cb6fa9ad,d55b731b551b51dd0519d5649deab266,canceled,2018-07-15 10:32:58,2018-07-15 10:45:15,,,2018-08-10 00:00:00,2018-07
18638,ccd4eb95e68cb64e666ddcb84f8dfb1e,daac514ffdd2cc0cda0e9686c63a9cad,canceled,2018-03-05 22:57:35,,,,2018-03-21 00:00:00,2018-03
18872,f71952473c83952e23fb55146d59bfe2,ceb81075157a116d7001ec98fdbac21c,canceled,2018-03-10 16:44:52,2018-03-10 18:40:37,,,2018-03-22 00:00:00,2018-03
18913,37e5806494067b6dcc269c80c272eab2,e673336c4f14e065f1f05d154ae50993,canceled,2018-03-08 16:11:34,2018-03-08 16:56:03,,,2018-03-22 00:00:00,2018-03
18962,8abd0f2c3a61336c2ee97b2785175332,b26210baf58f3919747468874d88c53f,canceled,2018-04-19 13:18:07,2018-04-19 14:31:24,,,2018-05-08 00:00:00,2018-04
18984,7e30f6ae5435d7c05b487f7b5e1d61ba,c2ca5f569938a5f8a79e1f80f3800e3f,canceled,2018-02-28 13:16:08,2018-02-28 13:35:20,2018-03-02 02:43:53,,2018-03-13 00:00:00,2018-02
19035,5754d3172f19f363edbaf03691b9f989,d56b30f9f6b0167e61eb297deabfad78,canceled,2018-02-09 11:23:59,2018-02-09 11:35:31,,,2018-03-07 00:00:00,2018-02
19308,e928f5fbefb30f228db4678d9222b231,950863681cb2112651ef0782da4e689d,canceled,2017-05-12 18:09:07,2017-05-12 18:15:18,,,2017-06-16 00:00:00,2017-05
19360,b7d469b7eb3c07c6d4b96d505c811fea,5b9d5dfe6b754261741fb68772efed93,canceled,2018-02-03 22:14:25,2018-02-06 04:32:36,2018-02-06 20:46:55,,2018-02-21 00:00:00,2018-02
19416,f823e090c5fffc41f7a863aa7c66e34a,3726bec3de946155c502820226221f4d,canceled,2017-12-04 17:00:18,2017-12-06 02:50:26,,,2017-12-20 00:00:00,2017-12
19506,815c1f60c4896764d6d70b7fea63863b,43cbc1dac30f38ac86c23356358597a7,canceled,2017-11-21 13:55:08,2017-11-21 15:50:58,,,2017-12-01 00:00:00,2017-11
19919,ce0a53468ddde09e79f73edba370ceec,be661c8beed58e228518d223a539700e,canceled,2018-02-08 16:39:22,2018-02-08 17:29:35,,,2018-03-08 00:00:00,2018-02
